"All","Tümü",module,Magento_AdminGws
"None","Hiçbiri",module,Magento_AdminGws
"Allowed Scopes","İzin Verilen Kapsamlar",module,Magento_AdminGws
"More permissions are needed to delete the ""%1"" item.","More permissions are needed to delete the ""%1"" item.",module,Magento_AdminGws
"You need more permissions to apply some of the rule updates.","Kural güncellemelerinden bazılarını uygulamak için daha fazla izine ihtiyacınız var.",module,Magento_AdminGws
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","This entity needs to be assigned to a store view. Verify the entity assignment and try again.",module,Magento_AdminGws
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again.",module,Magento_AdminGws
"This item needs to be assigned to a store view. Assign item and try again.","This item needs to be assigned to a store view. Assign item and try again.",module,Magento_AdminGws
"More permissions are needed to save this item.","More permissions are needed to save this item.",module,Magento_AdminGws
"More permissions are needed to delete this item.","More permissions are needed to delete this item.",module,Magento_AdminGws
"More permissions are needed to view this item.","More permissions are needed to view this item.",module,Magento_AdminGws
"At least one website or store group needs to be selected. Select and try again.","At least one website or store group needs to be selected. Select and try again.",module,Magento_AdminGws
"More permissions are needed to set All Scopes to a Role.","More permissions are needed to set All Scopes to a Role.",module,Magento_AdminGws
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","The ""%1"" website ID is incorrect. Verify the website ID and try again.",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","""%1"" websitesine erişebilmek için daha fazla izine ihtiyacınız var.",module,Magento_AdminGws
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","The ""%1"" store ID is incorrect. Verify the store ID and try again.",module,Magento_AdminGws
"More permissions are needed to save this setting.","More permissions are needed to save this setting.",module,Magento_AdminGws
"Role Scopes","Rol Kapsamları",module,Magento_AdminGws
"Custom","Özel",module,Magento_AdminGws
"Read Details","Detayları Oku",module,Magento_AdminNotification
"Mark as Read","Okundu Olarak İşaretle",module,Magento_AdminNotification
"Are you sure?","Emin misiniz?",module,Magento_AdminNotification
"Remove","Kaldır",module,Magento_AdminNotification
"Messages Inbox","Mesaj Gelen Kutusu",module,Magento_AdminNotification
"You have %1 new system messages","%1 yeni sistem mesajınız var",module,Magento_AdminNotification
"You have %1 new system message","%1 yeni sistem mesajınız var",module,Magento_AdminNotification
"Incoming Message","Gelen Mesaj",module,Magento_AdminNotification
"close","kapat",module,Magento_AdminNotification
"Notifications","Bildirimler",module,Magento_AdminNotification
"The message has been marked as Read.","Bu mesaj Okundu olarak işaretlendi.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Bir hata sebebiyle bildirimi Okundu olarak işaretleyemiyoruz.",module,Magento_AdminNotification
"Please select messages.","Lütfen mesajları seçin.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Toplam %1 kayıt Okundu olarak işaretlendi.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Toplam %1 kayıt kaldırıldı.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Bir hata nedeniyle iletileri kaldıramadık.",module,Magento_AdminNotification
"The message has been removed.","Mesaj silindi.",module,Magento_AdminNotification
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.",module,Magento_AdminNotification
"1 Hour","1 Saat",module,Magento_AdminNotification
"2 Hours","2 Saat",module,Magento_AdminNotification
"6 Hours","6 Saat",module,Magento_AdminNotification
"12 Hours","12 Saat",module,Magento_AdminNotification
"24 Hours","24 Saat",module,Magento_AdminNotification
"critical","kritik",module,Magento_AdminNotification
"major","büyük",module,Magento_AdminNotification
"minor","küçük",module,Magento_AdminNotification
"notice","bilgi",module,Magento_AdminNotification
"Wrong message type","Hatalı mesaj tipi",module,Magento_AdminNotification
"Wrong notification ID specified.","Yanlış bildirim kimliği belirtildi.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} Bankası güvenli olmayan URL bildirmek için bir üretim ortamında kullanmanız önerilmez / Bankası güvenli URL. Senin Magento <a href=""%1""> yapılandırma</a> bu değerin değiştirilmesi önerilir.",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1.","Önbellek Türlerinden bir veya daha fazlası geçersiz kılınmıştır: %1.",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Lütfen <a href=""%1"">Ön Bellek Yönetimine </a> gidin ve ön bellek türlerini yenileyin",module,Magento_AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Bir veya daha fazla ortam dosyasını zaman uyumlu yapamıyoruz. Lütfen ayrıntılar için günlük dosyasına başvurun.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Ortam depolarının senkronizasyonu tamamlandı.",module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Web sunucunuz hatalı ayarlanmış ve hassas dosyalara yetkisiz erişime izin veriyor. Lütfen barındırma sağlayıcınıza başvurun.",module,Magento_AdminNotification
"System Messages:","Sistem Mesajları:",module,Magento_AdminNotification
"Critical System Messages","Kritik Sistem Mesajları",module,Magento_AdminNotification
"Major System Messages","Önemli Sistem Mesajları",module,Magento_AdminNotification
"System messages","Sistem mesajları",module,Magento_AdminNotification
"Close","Kapat",module,Magento_AdminNotification
"See All (","Hepsini gör (",module,Magento_AdminNotification
"unread)","okunmamış)",module,Magento_AdminNotification
"Show Toolbar","Araç Çubuğunu Göster",module,Magento_AdminNotification
"Show List","Listeyi Göster",module,Magento_AdminNotification
"Use HTTPS to Get Feed","Veri Akışı İçin HTTPS kullan",module,Magento_AdminNotification
"Update Frequency","Güncelleme Sıklığı",module,Magento_AdminNotification
"Last Update","Son Güncelleme",module,Magento_AdminNotification
"Severity","Seviye",module,Magento_AdminNotification
"Date Added","Eklenme Tarihi",module,Magento_AdminNotification
"Message","Mesaj",module,Magento_AdminNotification
"Actions","İşlemler",module,Magento_AdminNotification
"Manage Shopping Cart","Alışveriş Sepeti Yönet",module,Magento_AdvancedCheckout
"Create Order","Sipariş Oluştur",module,Magento_AdvancedCheckout
"Back","Geri",module,Magento_AdvancedCheckout
"Add Products","Ürün Ekle",module,Magento_AdvancedCheckout
"Update Items and Quantities","Madde ve miktarları güncelle",module,Magento_AdvancedCheckout
"Are you sure you want to clear your cart?","Sepetinizi temizlemek istediğinizden emin misiniz?",module,Magento_AdvancedCheckout
"Clear my shopping cart","Alışveriş Sepetimi temizle",module,Magento_AdvancedCheckout
"Add selections to my cart","Seçilenleri Sepete Ekle",module,Magento_AdvancedCheckout
"Cancel","İptal",module,Magento_AdvancedCheckout
"Shopping Cart for %1 in %2","%1/%2 için alışveriş sepeti",module,Magento_AdvancedCheckout
"Select products you want to buy","Satın almak istediğiniz ürünleri seçin",module,Magento_AdvancedCheckout
"Product","Ürün",module,Magento_AdvancedCheckout
"Price","Fiyat",module,Magento_AdvancedCheckout
"Quantity","Miktar",module,Magento_AdvancedCheckout
"Products in the Comparison List (%1)","(%1) Ürün Karşılaştırma Listesinde",module,Magento_AdvancedCheckout
"Last ordered items (%1)","Son sipariş edilen ürünler (%1)",module,Magento_AdvancedCheckout
"Products","Ürünler",module,Magento_AdvancedCheckout
"ID","No",module,Magento_AdvancedCheckout
"SKU","Ürün Kodu",module,Magento_AdvancedCheckout
"Recently Compared Products (%1)","Son zamanlarda karşılaştırılan ürünler (%1)",module,Magento_AdvancedCheckout
"Recently Viewed Products (%1)","Son görüntülenen ürünler (%1)",module,Magento_AdvancedCheckout
"Add to Shopping Cart by SKU","SKU ile Alışveriş sepetine ekle",module,Magento_AdvancedCheckout
"Add to Shopping Cart","Sepete Ekle",module,Magento_AdvancedCheckout
"Wish List (%1)","İstek listesi (%1)",module,Magento_AdvancedCheckout
"Apply","Onayla",module,Magento_AdvancedCheckout
"Configure","Yapılandır",module,Magento_AdvancedCheckout
"Add to Order by SKU","SKU ile Sipariş Ekle",module,Magento_AdvancedCheckout
"Add to Order","Siparişe Ekle",module,Magento_AdvancedCheckout
"Add Products to Order","Siparişe ürün ekleyin",module,Magento_AdvancedCheckout
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> ürün (ler) dikkat gerektirir.</span>",module,Magento_AdvancedCheckout
"Remove All","Tümünü kaldır",module,Magento_AdvancedCheckout
"Only %1%2%3 left in stock","Stokta sadece %1%2%3 kaldı",module,Magento_AdvancedCheckout
"You can buy up to %1 of these per purchase.","Her satın alma da bundan %1 alabilirsiniz.",module,Magento_AdvancedCheckout
"You must buy at least %1 of these per purchase.","Bu satınalma bazında en azından %1 satın almanız gerekir.",module,Magento_AdvancedCheckout
"Specify the product's options.","Ürünün seçenekleri belirtin.",module,Magento_AdvancedCheckout
"Alert me when this item is available.","Bu öğe kullanılabilir olduğunda beni uyar.",module,Magento_AdvancedCheckout
"This customer couldn't be found. Verify the customer and try again.","This customer couldn't be found. Verify the customer and try again.",module,Magento_AdvancedCheckout
"Shopping cart management is disabled for this customer.","Alışveriş sepeti yönetimi bu müşteri için devre dışı bırakılır.",module,Magento_AdvancedCheckout
"This store couldn't be found. Verify the store and try again.","This store couldn't be found. Verify the store and try again.",module,Magento_AdvancedCheckout
"Customers","Müşteriler",module,Magento_AdvancedCheckout
"Shopping Cart","Alışveriş Sepeti",module,Magento_AdvancedCheckout
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log.",module,Magento_AdvancedCheckout
"You do not have access to this.","Buna erişiminiz yok.",module,Magento_AdvancedCheckout
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again.",module,Magento_AdvancedCheckout
"The ordered item needs to be loaded. Load the item and try again.","The ordered item needs to be loaded. Load the item and try again.",module,Magento_AdvancedCheckout
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again.",module,Magento_AdvancedCheckout
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again.",module,Magento_AdvancedCheckout
"The wish list item ID needs to be received. Set the ID and try again.","The wish list item ID needs to be received. Set the ID and try again.",module,Magento_AdvancedCheckout
"The wish list item needs to be loaded. Load the item and try again.","The wish list item needs to be loaded. Load the item and try again.",module,Magento_AdvancedCheckout
"An error has occurred. See error log for details.","Bir hata oluştu. Ayrıntılar için hata günlüğüne bakın.",module,Magento_AdvancedCheckout
"You cannot configure a product.","Bir ürün yapılandıramazsınız.",module,Magento_AdvancedCheckout
"You removed the items.","Öğeler kaldırıldı.",module,Magento_AdvancedCheckout
"You removed the item.","Madde kaldırıldı.",module,Magento_AdvancedCheckout
"You added %1 to your shopping cart.","%1 alışveriş sepetinize eklendi.",module,Magento_AdvancedCheckout
"You cannot add a product.","Bir ürün ekleyemezsiniz.",module,Magento_AdvancedCheckout
"Order by SKU","SKU siparişleri",module,Magento_AdvancedCheckout
"The SKU was not found in the catalog.","SKU katalogda bulunamadı.",module,Magento_AdvancedCheckout
"Availability: Out of stock.","Stok Durumu : Stokta yok",module,Magento_AdvancedCheckout
"We don't have as many of these as you want.","İstediğiniz kadar bunların çoğu yok.",module,Magento_AdvancedCheckout
"You can't add this many to your cart.","Sepetiniz bu çok ekleyemezsiniz.",module,Magento_AdvancedCheckout
"You need to choose options for your item.","Öğeniz için seçenekleri seçmeniz gerekir.",module,Magento_AdvancedCheckout
"We can't add the item to your cart.","Sepetinize ürün ekleyemezsiniz.",module,Magento_AdvancedCheckout
"Please enter an actual number in the ""Qty"" field.","Lütfen bir ""Miktar"" alanına bir rakam girin.",module,Magento_AdvancedCheckout
"This product is assigned to another website.","Bu ürün başka bir Web sitesine atanır.",module,Magento_AdvancedCheckout
"You can add only enabled products.","Yalnızca etkin ürün ekleyebilirsiniz.",module,Magento_AdvancedCheckout
"You cannot upload this file.","Bu dosyayı karşıya yükleyemiyor.",module,Magento_AdvancedCheckout
"The file is empty.","Dosya boştur.",module,Magento_AdvancedCheckout
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Bir ürün SKU'su girmediniz. Ürün SKU tarafından eklemek için <a href=""%1""> buraya tıklayın</a> lütfen.",module,Magento_AdvancedCheckout
"You have not entered a product SKU.","Bir ürün SKU'su girmediniz.",module,Magento_AdvancedCheckout
"We can't add a product to cart by id ""%1"".","Bir ürün kimliği tarafından ""%1"" Sepete ekleyemezsiniz.",module,Magento_AdvancedCheckout
"Something went wrong while reordering this product.","Bu ürünün yeniden siparişi sırasında bir hata oluştu.",module,Magento_AdvancedCheckout
"We can't find this wish list.","Bu istek listesi bulamadı",module,Magento_AdvancedCheckout
